cigar	雪茄
ratel	格格作响
rater	评分员
rates	费率
ratha	老鼠
rathe	旋转
raths	拉思
ratoo	鼠标
ratos	胡扯
ratus	拉特斯
rauns	圆
raupo	可用
raved	狂吠
ravel	使…缠绕
raver	拉威尔
raves	狂欢
ravey	拉维
ravin	峡谷
rawer	罗威尔
rawin	根
rawly	生硬的
rawns	罗恩斯
raxed	雷克斯
raxes	比赛
rayah	射线
rayas	条纹
rayed	光线
rayle	雷尔
rayne	雷恩
razed	夷为平地
razee	剃刀
razer	夷为平地
razes	夷为平地
razoo	拉佐
readd	里德
reads	读到
reais	真实的
reaks	收割
realo	领域
reals	雷亚尔
reame	真实的
reams	令
reamy	令
reans	销售
reaps	收获
rears	养育
reast	速率
reata	雷亚
reate	创造
reave	雷夫
rebbe	将
rebec	丽贝克
rebid	雷比德
rebit	雷比特
rebop	重新启动
rebuy	雷比
recal	重铸
recce	雷切
recco	雷科
reccy	雷西
recit	阅读
recks	记录
recon	侦察
recta	直肠
recti	直肠
recto	直肠
redan	已经
redds	雷德斯
reddy	红的
reded	运行
redes	网络
redia	雷迪亚
redid	雷迪德
redip	雷迪普
redly	红色的
redon	雷东
redos	圆
redox	氧化还原
redry	雷德利
redub	重播
redux	雷杜
redye	雷迪
reech	刺鼻
reede	星期五
reeds	芦苇
reefs	暗礁
reefy	暗礁
reeks	臭气熏天
reeky	臭气熏天
reels	卷轴
reens	林斯
reest	里斯特
reeve	里夫
refed	裁判
refel	回流
refly	弗莱
refry	合唱
regar	雷加
reges	国王
reggo	雷戈
regie	方向
regma	雷格玛
regna	雨
regos	规则
regur	雷格
rehem	雷厄姆
reifs	成熟
reify	具体化
reiki	灵气
reiks	需要
reink	莱因克
reins	缰绳
reird	板
reist	旅行
reive	雷夫
rejig	重新调整
rejon	雷洪
reked	回答
rekes	雷克斯
rekey	行
relet	转载
relie	链接
relit	重温
rello	雷洛
reman	雷曼
remap	重新映射
remen	雷门
remet	放回去
remex	雷米克斯
remix	混音
renay	名称
rends	撕裂
reney	雷尼
renga	连歌
renig	清洁的
renin	肾素
renne	运行
renos	驯鹿
rente	兴趣
rents	租金
reoil	再油
reorg	重组
repeg	雷佩格
repin	雷平
repla	日巴
repos	休息
repot	报告
repps	重复
repro	重新编程
reran	重播
rerig	重新开始
resat	雷萨特
resaw	雷索
resay	雷塞
resee	丽西
reses	里塞斯
resew	重置
resid	残余物
resit	重新开始
resod	决议
resow	重新考虑
resto	休息
rests	休息
resty	休息
retag	互联网
retax	雷塔克斯
retem	网
retia	雷蒂亚
retie	网络
retox	翻新
revet	里维特
revie	雷维
rewan	雷文
rewax	重做
rewed	重写
rewet	里维特
rewin	瑞恩
rewon	雷翁
rewth	回报
rexes	雷克斯
rezes	祈祷
rheas	瑞亚斯
rheme	述位
rheum	大黄
rhies	瑞斯
rhine	莱茵河
rhody	铑
rhomb	菱形
rhone	罗纳
rhumb	伦布
rhyne	行
rhyta	节奏
riads	里亚兹酒店
rials	里亚尔
riant	追踪
riata	里亚塔
ribas	边缘
ribby	跳过
ribes	肋骨
riced	大米
ricer	大米
rices	米饭
ricey	里奇
richt	正确的
ricin	蓖麻毒素
ricks	里克斯
rides	骑
ridgy	里奇
ridic	可笑的
riels	瑞尔
riems	河流
rieve	里夫
rifer	参考
riffs	即兴发挥
rifte	裂痕
rifts	裂痕
rifty	裂痕
riggs	里格斯
rigol	里戈
riled	激怒
riles	激怒
riley	莱利
rille	里尔
rills	小溪
rimae	押韵
rimed	镶边
rimer	押韵
rimes	押韵
rimus	边缘
rinds	果皮
rindy	排
rines	RINES公司
rings	戒指
rinks	溜冰场
rioja	里奥哈
riots	暴动
riped	撕裂
ripes	撕裂
ripps	撕裂
rises	升起
rishi	里希
risks	风险
risus	里苏斯
rites	仪式
ritts	骑
ritzy	豪华的
rivas	里瓦斯
rived	裂开
rivel	里维尔
riven	裂开
rives	河流
riyal	里亚尔
rizas	里萨斯
roads	道路
roams	漫游
roans	罗恩斯
roars	咆哮
roary	咆哮。
roate	车轮
robed	长袍
robes	长袍
roble	罗伯
rocks	岩石
roded	罗得
rodes	罗德斯
roguy	流氓的
rohes	排
roids	ROID
roils	翻滚
roily	喧闹。
roins	罗恩斯
roist	克鲁克
rojak	罗雅克
rojis	下雨
roked	罗克德
roker	罗克尔
rokes	罗克斯
rolag	罗拉格
roles	角色
rolfs	罗尔斯
rolls	卷
romal	罗马尔
roman	古罗马的
romeo	罗密欧
romps	嬉戏
ronde	圆
rondo	回旋曲
roneo	罗内奥
rones	朗斯
ronin	浪人
ronne	罗恩
ronte	正面
ronts	伦茨
roods	红色
roofs	屋顶
roofy	迷糊的
rooks	车
rooky	新手
rooms	房间
roons	红色
roops	鲁普斯
roopy	鲁比
roosa	粉红色
roose	玫瑰
roots	根
rooty	罗蒂
roped	套住
roper	罗珀
ropes	绳索
ropey	罗比
roque	罗克
roral	罗拉尔
rores	罗尔斯
roric	罗里克
rorid	罗里德
rorie	睡意
rorts	罗茨
rorty	罗蒂
rosed	玫瑰色
roses	玫瑰
roset	玫瑰
roshi	罗西
rosin	松香
rosit	红色
rosti	罗斯蒂
rosts	罗斯特
rotal	旋转的
rotan	老鼠
rotas	路径
rotch	罗奇
roted	死记硬背
rotes	红色
rotis	车轮
rotls	轮
roton	罗顿
rotos	破碎的
rotte	路线
rouen	红色
roues	红色
roule	滚动
rouls	轧辊
roums	罗马尼亚语
roups	群
roupy	粗野的
roust	罗斯特
routh	劳斯
routs	溃败
roved	漫游
roven	乌鸦
roves	漫游
rowan	罗文
rowed	划船
rowel	罗威尔
rowen	罗文
rowie	战壕
rowme	Rowme
rownd	罗恩
rowth	吵闹
rowts	罗茨
royne	罗恩
royst	罗伊斯特
rozet	粉红色
rozit	松香
ruana	鲁阿纳
rubai	红宝石
rubby	鲁比
rubel	卢布
rubes	卢布
rubin	红宝石
ruble	卢布
rubli	卢布
rubus	悬钩子
ruche	动作
rucks	帆布
rudas	红色
rudds	陆克文
rudes	粗糙的
rudie	鲁迪
rudis	鲁迪斯
rueda	车轮
ruers	吕斯
ruffe	皱褶
ruffs	皱褶
rugae	皱襞
rugal	鲁加尔
ruggy	粗犷
ruing	毁灭
ruins	废墟
rukhs	鲁克斯
ruled	统治
rules	规则
rumal	愚蠢的
rumbo	轴承
rumen	瘤胃
rumes	朗姆酒
rumly	隆隆
rummy	拉米
rumpo	伦波
rumps	臀部
rumpy	拉米
runch	朗奇
runds	轮
runed	伦德
runes	符文
rungs	横档
runic	北欧古字
runny	流鼻涕的
runts	矮子
runty	矮胖的
rupia	卢比
rurps	鲁普斯
rurus	鲁鲁
rusas	俄语
ruses	诡计
rushy	拉什
rusks	罗斯克斯
rusma	俄语
russe	俄语
rusts	生锈
ruths	露丝
rutin	芦丁
rutty	拉蒂
ryals	莱尔斯
rybat	鱼
ryked	莱克
rykes	莱克斯
rymme	容纳
rynds	兰兹
ryots	Ryots公司
ryper	赖珀
saags	小时
sabal	萨巴尔
sabed	萨贝德
saber	马刀
sabes	你知道的，
sabha	萨巴
sabin	萨宾
sabir	萨比尔
sable	黑貂
sabot	木托
sabra	萨布拉
sabre	佩剑
sacks	麻袋
sacra	萨克拉
saddo	萨多
sades	赛德斯
sadhe	萨德
sadhu	萨杜
sadis	萨迪斯
sados	萨多斯
sadza	萨扎
safed	采法特
safes	保险箱
sagas	传奇故事
sager	萨杰
sages	圣人
saggy	下垂的
sagos	西米
sagum	历史
saheb	萨赫布
sahib	萨希布
saice	大小
saick	赛克
saics	大小
saids	赛义德
saiga	赛加
sails	帆
saims	赛姆斯
saine	塞恩
sains	声音
sairs	外面的
saist	赛斯特
saith	说
sajou	萨朱
sakai	说
saker	东西
sakes	看在上帝的份上
sakia	萨迦
sakis	句子
sakti	行为
salal	萨拉尔
salat	沙拉
salep	塞勒普
sales	出售
salet	塞莱特
salic	萨利克
salix	萨利克斯
salle	房间
salmi	三文鱼
salol	萨洛尔
salop	萨洛普
salpa	萨尔帕
salps	萨尔普斯
salse	萨尔塞
salto	跳
salts	盐
salue	敬礼
salut	-嗨。-嗨。
saman	n
samas	同时
samba	桑巴舞
sambo	桑博
samek	全部的
samel	萨梅尔
samen	在一起
sames	萨姆斯
samey	萨米
samfu	桑福
sammy	萨米
sampi	边
sands	沙子
saned	理智的
sanes	理智的
sanga	桑加
sangh	桑
sango	桑戈
sangs	桑斯
sanko	雪橇
sansa	机会
santo	桑托
sants	敏感的
saola	你好
sapan	奶牛
sapid	萨皮德
sapor	风味
saran	萨兰
sards	沙丁油鱼
sared	萨里德
saree	纱丽
sarge	中士
sargo	英语
sarin	沙林
saris	莎丽
sarks	萨尔克
sarky	萨基
sarod	萨罗德
saros	萨罗斯
sarus	莎鲁斯
saser	萨瑟
sasin	萨辛
sasse	石头
satai	100
satay	沙爹
sated	满足
satem	萨特姆
sates	满足
satis	小时
sauba	桑拿
sauch	索奇
saugh	索格
sauls	索尔斯
sault	索尔特
saunt	桑特
saury	辣的
sauts	跳跃
saved	保存的
saver	储户
saves	拯救
savey	萨维
savin	萨文
sawah	无效的
sawed	锯
sawer	锯木匠
saxes	萨克斯人
sayed	测试
sayer	测试
sayid	页面
sayne	测试
sayon	阶段
sayst	塞斯特
sazes	萨克斯人
scabs	结痂
scads	骗局
scaff	流氓
scags	斯卡格斯
scail	规模
scala	斯卡拉
scall	鳞片
scams	诈骗
scand	斯堪的纳维亚
scans	扫描
scapa	逃跑
scape	花茎
scapi	逃跑
scarp	悬崖
scars	疤痕
scart	斯卡特
scath	斯卡特
scats	斯卡茨
scatt	赶快走开
scaud	斯考德
scaup	人渣
scaur	斯古尔
scaws	斯考斯
sceat	skeat
scena	场景
scend	下降
schav	沙夫
schmo	施莫
schul	学校
schwa	施瓦
sclim	斯克里姆
scody	斯科迪
scogs	斯科斯
scoog	史酷格
scoot	快跑
scopa	扫帚
scops	范围
scots	苏格兰人
scoug	Scoug公司
scoup	侦察
scowp	嘲笑
scows	嘲笑
scrab	快滚
scrae	快滚
scrag	快滚
scran	逃走
scrat	快滚
scraw	滚
scray	瘦削的
scrim	斯克里姆
scrip	纸条
scrob	写
scrod	胆小鬼
scrog	吝啬鬼
scrow	吝啬鬼
scudi	盾牌
scudo	盾
scuds	飞毛腿
scuff	磨损
scuft	飞毛腿
scugs	渣滓
sculk	史高克
scull	划桨
sculp	斯库普
sculs	迪克
scums	渣滓
scups	人渣
scurf	头皮屑
scurs	筋疲力竭的
scuse	道歉
scuta	盾
scute	盾牌
scuts	渣滓
scuzz	斯库兹
scyes	对
sdayn	白天
sdein	斯丁
seals	海豹
seame	装置
seams	接缝
seamy	污秽的
seans	会议
seare	傍晚
sears	西尔斯
sease	西丝
seats	座位
seaze	西泽
sebum	皮脂
secco	赛科
sechs	六
sects	教派
seder	莎草
sedes	座位
sedge	莎草
sedgy	塞吉
sedum	景天属
seeds	种子
seeks	寻求
seeld	种子
seels	种子
seely	希利
seems	似乎
seeps	渗出
seepy	渗出的
seers	种子
sefer	塞弗
segar	新鲜的
segni	塞尼
segno	塞格诺
segol	秒
segos	颠倒
sehri	塞赫里
seifs	保险箱
seils	赛尔
seine	围网
seirs	六
seise	站
seism	地震
seity	塞特
seiza	第六
sekos	秒
sekts	秒
selah	分裂
seles	塞莱斯
selfs	自拍
sella	塞拉
selle	它
sells	卖
selva	丛林
semee	照片
semes	精液
semie	半
semis	半决赛
senas	年
sends	发送
senes	西内斯
sengi	森吉
senna	塞纳
senor	先生
sensa	森萨
sensi	感觉
sente	感觉
senti	感觉
sents	美分
senvy	森维
senza	没有
sepad	赛帕德
sepal	萼片
sepic	%s（%s）sepic
sepoy	塞波伊
septa	修女
septs	七分之一
serac	塞拉克
serai	瑟莱
seral	傍晚
sered	塞里德
serer	服务器
seres	众生
serfs	农奴
serge	谢尔盖
seric	塞里奇
serin	丝氨酸
serks	塞克斯
seron	塞朗
serow	塞罗
serra	塞拉
serre	温室
serrs	锁
serry	奶酪
servo	伺服
sesey	塞西
sessa	塞萨
setae	刚毛
setal	塞塔尔
seton	西顿
setts	塞茨
sewan	租金
sewar	下水道
sewed	缝制
sewel	树
sewen	七
sewin	秒
sexed	性爱
sexer	塞克斯
sexes	性别
sexto	第六
sexts	性短信
seyen	秒
shads	鲱鱼
shags	沙格斯
shahs	沙斯
shako	沙科
shakt	棚屋
shalm	沙姆
shaly	泥泞的
shama	萨玛
shams	沙姆
shand	%m/%d/%Y%I:%m:%S%p
shans	掸人
shaps	形状
sharn	矽卡岩
shash	沙什
shaul	沙乌尔
shawm	肖姆
shawn	肖恩
shaws	肖斯
shaya	沙亚
shays	谢斯
sheaf	一捆
sheal	谢尔
sheas	谢斯
sheds	棚
sheel	谢尔
shend	申德
shent	申特
sheol	阴间
sherd	碎片
shere	谢尔
shero	雪罗
shets	谢茨
sheva	舍瓦
shewn	谢恩
shews	展示
shiai	什叶派
shiel	谢尔
shier	希尔
shies	希斯
shill	谢尔
shily	犹豫不决
shims	垫片
shins	小腿
ships	船舶
shirr	谢尔
shirs	西尔斯
shish	嘘
shiso	希索
shist	希斯特
shite	卖
shits	大便
shiur	雨
shiva	湿婆
shive	颤抖
shivs	湿婆
shlub	丛
shmek	施梅克
shmoe	什莫
shoat	嘘
shoed	穿鞋
shoer	肖尔
shoes	鞋
shogi	日本象棋
shogs	鞋
shola	肖拉
shool	学校
shoon	苏
shoos	嘘
shope	商店
shops	商店
shorl	肖尔
shote	射击
shots	镜头
shott	肖特
showd	展示
shows	显示
shoyu	朔禹
shred	切碎
shris	施赖斯
shrow	尖叫
shtik	九月
shtum	施图姆
shule	舒勒
shuln	没有人
shuls	舒尔斯
shuns	回避
shura	舒拉
shute	舒特
shuts	关闭
shwas	施瓦特的
shyer	害羞的
sials	倒霉。
sibyl	女预言家
sices	秒
sicht	看法
sicko	病态的
sicks	生病
sicky	多病的
sidas	页面
sided	站在一边
sider	页面
sides	边
sidha	西达
sidhe	精灵
sidle	悄悄贴近
sield	希尔德
siens	他的
sient	坐
sieth	希思
sieur	西厄
sifts	筛选
sighs	叹息
sigil	密封
sigla	首字母
signa	签名
signs	标志
sijos	西约斯
sikas	西卡人
siker	成功的
sikes	赛克斯
silds	鲱鱼
silen	打开视频设备%s时出错
siler	银
siles	Siles公司
silks	丝绸
sills	窗台
silos	筒仓
silts	淤泥
silty	粉质
silva	席尔瓦
simar	西玛
simas	对
simba	辛巴
simis	猴子
simps	简单的
sinds	自从
sined	肌肉
sines	西内斯
sings	歌唱
sinhs	信义
sinks	下沉
sinky	下沉
sinus	窦
siped	啜饮
sipes	啜饮
sippy	啜饮
sired	父辈
siree	陛下
sires	陛下
sirih	奶酪
siris	叙利亚人
siroc	Siroc
sirra	西拉
sirup	糖浆
sisal	剑麻
sises	里面
sista	最后的
sists	最后的
sitar	锡塔尔
sited	选址
sites	地点
sithe	六
sitka	地点
situp	仰卧起坐
situs	位置
siver	渗出
sixer	76人
sixes	六
sixmo	西斯莫
sixte	十六
sizar	西扎
sized	大小
sizel	大小
sizer	浆纱机
sizes	大小
skags	疼痛
skail	壳
skald	规模
skank	卑鄙的
skart	浪费
skats	视野
skatt	斯卡特
skaws	斯考斯
skean	扫描
skear	分离器
skeds	勺子
skeef	形式
skeen	场景
skeer	分离器
skees	斯凯斯
skeet	飞碟
skegg	影子
skegs	斯凯格斯
skelf	骨架
skell	壳
skelm	柱
skelp	壳
skene	扫描
skens	扫描
skeps	飞碟
skers	斯克斯
skets	斯凯茨
skews	歪斜
skids	滑行
skied	滑雪
skies	天空
skiey	斯凯
skimo	还有滑雪
skims	略过
skink	火腿
skins	皮肤
skint	身无分文的
skios	天空
skips	跳过
skirl	急转弯
skirr	斯基尔
skite	斯基特
skits	短剧
skive	斯奇夫
skivy	机灵的
sklim	斯克里姆
skoal	学校
skody	斯卡德斯
skoff	斯科夫
skogs	森林
skols	学校
skool	学校
skort	缺乏
skosh	斯科什
skran	屏幕
skrik	尖叫
skuas	臭鼬
skugs	臭鼬
skyed	天空
skyer	云
skyey	天空
skyfs	圆盘
skyre	部分
skyrs	天空人
skyte	开枪
slabs	石板
slade	斯莱德
slaes	杀死
slags	熔渣
slaid	滑动
slake	解渴
slams	猛击
slane	旧的
slank	俚语
slaps	拍打
slart	松懈
slats	板条
slaty	石板
slays	杀死
sleds	雪橇
sleer	光滑的
slews	杀死
sleys	斯利
slier	斯莱尔
slily	斯莱利
slims	苗条的
slipe	滑倒
slips	滑倒
slipt	溜走
slish	滑动
slits	裂缝
slive	斯莱夫
sloan	斯隆
slobs	懒汉
sloes	斯洛斯
slogs	艰难
sloid	斯洛伊德
slojd	斯洛德
slomo	慢动作
sloom	蜕皮
sloot	沟
slops	污水
slopy	柱
slorm	懒汉
slots	插槽
slove	斯洛夫
slows	减速
sloyd	斯洛伊德
slubb	Slbb
slubs	竹节
slued	荡妇
slues	荡妇
sluff	软泥
slugs	鼻涕虫
sluit	接近
slums	贫民窟
slurb	咕噜
slurs	诽谤
sluse	接近
sluts	荡妇
slyer	狡猾的
smaak	味道
smaik	味道
smalm	斯马尔
smalt	狭窄的
smarm	斯马尔
smaze	鼠标
smeek	斯梅克
smees	斯梅斯
smeik	微笑。
smeke	斯梅克
smerk	疼痛
smews	抹黑
smirr	微笑
smirs	沙
smits	斯密茨
smogs	烟雾
smoko	无花果
smolt	光滑的
smoor	光
smoot	斯穆特
smore	光滑的
smorg	烟雾
smout	烟雾
smowt	烟雾
smugs	沾沾自喜
smurs	蓝精灵
smush	斯马什
smuts	脏污
snabs	陷阱
snafu	斯纳福
snags	障碍
snaps	猛击
snarf	圈套
snark	打鼾
snars	下一个
snary	圈套
snash	斯诺什
snath	斯内特
snaws	陷阱
snead	星期日
sneap	雪
snebs	斯奈布斯
sneck	斯内克
sneds	SNEDS
sneed	星期日
snees	雪
snell	斯内尔
snibs	狙击手
snick	斯尼克
snies	雪
snift	吝啬鬼
snigs	狙击
snips	剪断
snipy	剪断
snirt	斯奈特
snits	鼻涕
snobs	势利小人
snods	鼻涕
snoek	派克
snoep	糖果
snogs	吻
snoke	斯诺克
snood	斯诺德
snook	斯努克
snool	斯诺尔
snoot	鼻涕
snots	鼻涕
snowk	雪
snows	下雪
snubs	冷落
snugs	鼻烟
snush	溜走
snyes	雪
soaks	浸泡
soaps	肥皂
soare	太阳
soars	硬的
soave	节约
sobas	星期六
socas	袜子
soces	袜子
socko	短袜
socks	袜子
socle	基座
sodas	苏打水
soddy	索迪
sodic	苏打水
sodom	索多玛
sofar	沙发
sofas	沙发
softa	软糖
softs	软糖
softy	柔软的
soger	索格
sohur	播种
soils	土壤
soily	光
sojas	大豆
sojus	大豆
sokah	支持
soken	袜子
sokes	袜子
sokol	学校
solah	索拉
solan	太阳
solas	单一的
solde	余额
soldi	钱
soldo	平衡
solds	索尔兹
soled	鞋底
solei	索莱
soler	太阳
soles	鞋底
solon	太阳
solos	独奏
solum	光
solus	解决
soman	索曼
somas	总数
sonce	太阳
sonde	探空仪
sones	声音
songs	歌曲
sonly	数
sonne	铃声
sonny	桑尼
sonse	桑斯
sonsy	桑西
sooey	苏伊
sooks	性
sooky	乌烟瘴气的
soole	肠
sools	盐
sooms	芬兰语的
soops	抚慰
soote	烟灰
soots	烟灰
sophs	索菲斯
sophy	索菲
sopor	垃圾
soppy	湿漉漉的
sopra	在上面
soral	索拉尔
soras	索拉斯
sorbo	来源
sorbs	索布斯
sorda	聋的
sordo	聋的
sords	伤口
sored	伤口
soree	疮
sorel	索雷尔
sorer	悲哀的
sores	疮
sorex	索雷克斯
sorgo	高粱
sorns	索恩斯
sorra	沙
sorta	类型
sorts	种类
sorus	来源
soths	底部
sotol	索托
souce	声音
souct	声音
sough	呜呜
souks	露天市场
souls	灵魂
soums	苏姆斯
soups	汤
soupy	汤
sours	酸味
souse	酸
souts	苏茨
sowar	索瓦
sowce	绵羊
sowed	播种
sowff	沙发
sowfs	母猪
sowle	索尔
sowls	母猪
sowms	母猪
sownd	索恩德
sowne	奥恩
sowps	汤
sowse	索斯
sowth	播种
soyas	阴影
soyle	索伊尔
soyuz	联盟号
sozin	索津
spacy	空间
spado	斯帕多
spaed	铲
spaer	水疗
spaes	黑桃
spahi	斯帕希
spail	箭头
spain	西班牙
spait	斯派特
spake	说话
spald	斯帕尔德
spale	柱
spall	剥落
spalt	缺口
spams	垃圾
spane	跨度
spang	打屁股
spans	跨越
spard	SPARD公司
spars	桅杆
spart	幸免
spate	一连串
spats	争吵
spaul	水疗中心
spawl	焊接
spaws	垃圾
spayd	斯帕伊德
spays	喷雾
spaza	空间
spazz	斯帕兹
speal	斯帕尔
spean	斯潘
speat	斯佩特
specs	规格
spect	幽灵
speel	游戏
speer	运动员
speil	镜子
speir	斯皮尔
speks	斯佩克斯
speld	斯皮尔德
spelk	游戏
speos	斯佩斯
spets	规格
speug	镜子
spews	喷出
spewy	斯佩维
spial	斯皮尔
spica	斯皮卡
spick	斯派克
spide	插口
spier	肌肉
spies	间谍
spiff	斯皮夫
spifs	SPIFS公司
spiks	斯派克斯
spile	镜子
spims	斯皮姆
spina	脊柱
spink	旋转
spins	旋转
spirt	精神
spiry	斯皮里
spits	吐口水
spitz	斯皮茨
spivs	SPIV
splay	张开
spode	速度
spods	Spods
spoom	恶搞
spoor	斯波尔
spoot	斯普特
spork	斯波克
sposh	斯波什
spots	斑点
sprad	蔓延
sprag	突然出现
sprat	斯普拉特
spred	斯普雷德
sprew	斯普雷夫
sprit	精灵
sprod	发芽
sprog	斯普罗格
sprue	浇口
sprug	弹簧
spuds	土豆
spued	土豆
spuer	斯普尔
spues	土豆
spugs	木桩
spule	吐痰
spume	水沫
spumy	水沫
spurs	马刺队
sputa	斯普塔
spyal	游戏
spyre	呕吐
squab	乳鸽
squaw	呱呱
squeg	挤压
squid	鱿鱼
squit	斜视
squiz	斯奎兹
stabs	刺伤
stade	体育场
stags	牡鹿
stagy	阶段
staig	楼梯
stane	状态
stang	酒吧
staph	葡萄球菌。
staps	斯塔普斯
starn	海星
starr	固执的
stars	星星
stats	统计数据
staun	住手
staws	斯塔斯
stays	停留
stean	斯特恩
stear	明星
stedd	斯特德
stede	地点
steds	STEDS
steek	隐藏
steem	形式
steen	石
steil	陡峭的
stela	斯特拉
stele	石碑
stell	斯特尔
steme	方案
stems	茎
stend	斯滕德
steno	速记
stens	斯滕
stent	支架
steps	台阶
stept	步
stere	明星
stets	斯特茨
stews	炖菜
stewy	炖菜
steys	斯蒂斯
stich	缝线
stied	时间
sties	斯蒂斯
stilb	风格
stile	阶梯
stime	刺激
stims	刺激
stimy	史提米
stipa	针茅
stipe	柄
stire	新闻
stirk	玻璃
stirp	斯蒂普
stirs	搅动
stive	煽动
stivy	斯蒂瓦
stoae	口
stoai	斯托伊
stoas	白鼬
stoat	白鼬
stobs	斯托克斯
stoep	人行道
stogy	结实的
stoit	斯托伊特
stoln	椅子
stoma	气孔
stond	站立
stong	强烈的
stonk	斯托克
stonn	多石的
stook	弯腰
stoor	保管部
stope	采场
stops	停止
stopt	停止
stoss	大便
stots	索陶卫浴
stott	支持
stoun	石头
stoup	上升
stour	斯托尔
stown	斯托恩
stowp	斯托普
stows	积载
strad	斯特拉德
strae	迷路
strag	斯特拉格
strak	紧的
strep	链球菌
strew	撒满
stria	纹
strig	斯特里格
strim	带
strop	斯特罗普
strow	斯特罗
stroy	斯特罗伊
strum	斯特鲁姆
stubs	存根
stude	学习
studs	双头螺栓
stull	壳
stulm	柱
stumm	形式
stums	斯图姆斯
stuns	晕眩
stupa	佛塔
stupe	页脚
sture	斯特尔
sturt	发送
styed	风格
styes	斯蒂斯
styli	风格
stylo	风格
styme	斯泰姆
stymy	闷热的
styre	驾驶
styte	斯泰特
subah	苏巴
subas	爬上
subby	苏比
suber	上升
subha	高的
succi	救援
sucks	烂透了
sucky	糟透了
sucre	糖
sudds	苏迪斯
sudor	汗
sudsy	肥皂泡
suede	山羊皮
suent	声音
suers	汗液
suete	羊毛衫
suets	千斤顶
suety	绒面革
sugan	苏根
sughs	苏格斯
sugos	糖
suhur	温度
suids	起诉
suint	坐
suits	套装
sujee	苏吉
sukhs	苏克斯
sukuk	苏克
sulci	沟
sulfa	磺胺
sulfo	磺基
sulks	生气
sulph	磺酸盐
sulus	苏卢斯
sumis	总和
summa	萨玛
sumos	相扑
sumph	萨姆夫
sumps	污水坑
sunis	太阳
sunks	太阳
sunna	苏娜
sunns	%1克/秒
sunup	日出
supes	苏普斯
supra	上文
surah	苏拉
sural	腓肠肌
suras	苏拉
surat	信
surds	聋的
sured	死亡
sures	南方
surfs	冲浪
surfy	冲浪板
surgy	暴躁的
surra	苏拉
sused	络腮胡子
suses	顶部
susus	苏苏
sutor	缝合线
sutra	经文
sutta	经文
swabs	拭子
swack	斯威克
swads	斯瓦兹
swage	模锻
swags	交换
swail	游泳。
swain	斯温
swale	斯瓦尔
swaly	斯威利
swamy	斯瓦米
swang	斯旺
swank	斯旺克
swans	天鹅
swaps	交换
swapt	游荡
sward	草地
sware	发誓
swarf	切屑
swart	黑色
swats	斯瓦茨
swayl	斯韦尔
sways	摇摆
sweal	斯瓦尔
swede	瑞典人
sweed	咒骂
sweel	斯韦尔
sweer	发誓
swees	瑞典人
sweir	发誓
swelt	世界
swerf	院子
sweys	斯威斯
swies	瑞士人
swigs	痛饮
swile	游泳
swims	游泳
swink	斯温克
swipe	刷卡
swire	太古
swiss	瑞士的
swith	斯威思
swits	游泳
swive	游泳
swizz	嗖嗖
swobs	斯沃布斯
swole	斯沃尔
swoln	肿胀的
swops	猛扑
swopt	猛扑
swots	昏厥
swoun	斯温
sybbe	西比
sybil	西比尔
syboe	锡博
sybow	西博
sycee	赛奇
syces	系统
sycon	西康
syens	梅恩斯
syker	生病的
sykes	赛克斯
sylis	西尔斯
sylph	精灵
sylva	西尔瓦
symar	清楚
synch	同步
syncs	同步
synds	罪
synes	似乎
synth	合成器
syped	赛义德
sypes	赛普斯
syrah	西拉
syren	丁香花
sysop	西索普
sythe	赛特
syver	七
taals	语言文字
taata	保证
taber	失败者
tabes	标签
tabid	塔比德
tabis	标签
tabla	塔布拉
tabor	塔博尔
tabun	桌子
tabus	禁忌语
tacan	塔康
taces	塔克斯
tacet	塔克特
tache	环节
tacho	测速仪
tachs	转速表
tacks	大头钉
tacos	玉米饼
tacts	机智
taels	塔尔
tafia	塔菲亚
taggy	塔吉
tagma	塔格玛
tahas	背景
tahrs	塔尔
taiga	泰加
taigs	塔吉斯
taiko	太子
tails	尾巴
tains	泰恩斯
taira	泰拉
taish	家
taits	泰茨
tajes	塔耶斯
takas	追踪
takes	拿
takhi	塔基
takin	羚牛
takis	塔基斯
takky	杰基
talak	谈话
talaq	塔拉克
talar	讲话
talas	塔拉斯
talcs	滑石粉
talcy	塔西
talea	垃圾桶
taler	演讲
tales	故事
talks	谈话
talky	谈话
talls	塔尔斯
talma	塔尔玛
talpa	鞋底
taluk	塔鲁克
talus	距骨
tamal	塔马尔
tamed	驯服
tames	驯服
tamin	泰米尔人
tamis	泰米尔人
tammy	塔米
tamps	夯实
tanas	塔纳斯
tanga	傻瓜
tangi	唐
tangs	唐
tanhs	晒黑
tanka	坦克
tanks	坦克
tanky	坦克
tanna	坦娜
tansy	坦西
tanti	许多的
tanto	这么多
tanty	阿姨们
tapas	餐前小吃
taped	录音
tapen	磁带
tapes	磁带
tapet	损失
tapis	墙纸
tappa	杀死
tapus	塔普斯
taras	水平
tardo	晚的
tared	皮重
tares	皮重
targa	车牌
targe	塔格
tarns	塔恩斯
taroc	塔洛克
tarok	塔洛克
taros	芋头
tarps	防水布
tarre	柏油
tarry	逗留
tarsi	塔尔西
tarts	馅饼
tarty	馅饼
tasar	塔萨尔
tased	率
taser	泰瑟枪
tases	任务
tasks	任务
tassa	塔萨
